product_name,product_price,product_img,product_rating,total_customer_rating,product_page_url
NIMITZ 2.5inch HDD/SSD Hard Drive Cable Connector for ASUS VivoBook S14/S15 S430U S530U /X412 X512 F412 F512/R424/R564/Huawei Matebook D,"₹5,727",,https://m.media-amazon.com/images/I/71AOIxEpVxL._AC_UY218_.jpg,2.4 out of 5 stars,3,https://www.amazon.in/NIMITZ-2-5inch-Connector-VivoBook-Matebook/dp/B07J4WRT71
product_name,product_price,product_MRP,product_img,product_rating,total_customer_rating,product_page_url
Storite Type-C to SATA Adapter - External Hard Drive Connector for 2.5'' SATA Drives - SATA SSD/HDD to Type C Cable - Black,₹949,"₹1,599",https://m.media-amazon.com/images/I/71ezyTrxlGL._AC_UY218_.jpg,1.5 out of 5 stars,2,https://www.amazon.in/Storite-Type-C-SATA-Adapter-Connector/dp/B0CDC8CSRS
"Lapster USB 3.0 sata Cable for 2.5 inch SSD and HDD, USB 3.0 to SATA III Hard Driver Adapter, sata to USB Cable-(Blue)",₹299,₹999,https://m.media-amazon.com/images/I/51g7KyX3MqL._AC_UY218_.jpg,3.6 out of 5 stars,"2,147",https://www.amazon.in/Lapster-Cable-Driver-Adapter-Cable/dp/B09F3PDDRF
"RuhZa SATA To Usb 3.0 Cable, Sata III Hard Drive Converter For 3.5/2.5 Inch HDD/SSD Support Uasp (With External 12V/2A Power Supply)",₹999,"₹1,798",https://m.media-amazon.com/images/I/61WpnhbD9uL._AC_UY218_.jpg,2.5 out of 5 stars,5,https://www.amazon.in/RuhZa-Converter-Support-External-Supply/dp/B0C7QTZYH9
Live Tech 2.5/3.5 HDD Casing Inch SATA SSD to USB 2.0 External Hard Drive Case for Laptop/Desktop/SSD HD (Hard Disk Not Included) (HDC05 USB 2.0),₹925,"₹4,999",https://m.media-amazon.com/images/I/51xakpAFynL._AC_UY218_.jpg,3.9 out of 5 stars,"1,157",https://www.amazon.in/External-Drive-Laptop-Desktop-Included/dp/B08454QK3J
"Storite USB 2.0 to 2.5"" Laptop SATA 22P Hard Drive HDD Adapter Cable Converter - also reads 2.5 inch Sata SSD Drives through USB 2.0-Black",₹399,"₹1,299",https://m.media-amazon.com/images/I/61W3qzHLU7L._AC_UY218_.jpg,3.6 out of 5 stars,14,https://www.amazon.in/Storite-USB-2-0-Adapter-Cable/dp/B09JKQ21P4
"Storite 2.5 inch USB 3.0 External Hard Disk Enclosure Adapter, External Portable USB 3.0 to SATA Transparent Hard Drive Enclosure for 2.5 Inch SATA HDD/SSD, Support SATA III",₹599,"₹1,999",https://m.media-amazon.com/images/I/718LQctlolL._AC_UY218_.jpg,4.0 out of 5 stars,11,https://www.amazon.in/Storite-USB-3-0-Enclosure-Transparent/dp/B0BTLDW8Y5
2.5inch HDD/SSD Hard Drive Cable Connector fASUS VivoBook S14/S15 S430U S530U,"₹1,240","₹1,750",https://m.media-amazon.com/images/I/319HCKYOCnS._AC_UY218_.jpg,,0,https://www.amazon.in/2-5inch-Drive-Cable-Connector-VivoBook/dp/B0993W6N1L
"GinTai Laptop 2.5inch SATA HDD/SSD Hard Drive Cable Connector for ASUS VivoBook S14/S15 S430U S530U /X412 X512 F412 F512/R424/R564/S430 S530 X430 S4300 X530 S5300,Grey","₹1,450","₹1,800",https://m.media-amazon.com/images/I/51-SnhSv+qL._AC_UY218_.jpg,3.3 out of 5 stars,9,https://www.amazon.in/GinTai-2-5inch-Connector-VivoBook-Matebook/dp/B08888W1NW
RANZ USB 2.0 Casing 3.5/2.5 Inch SSD SATA to USB External Hard Drive Enclosure Case for Laptop/Desktop/SSD HD (Hard Disk Not Included),₹970,"₹1,499",https://m.media-amazon.com/images/I/51RTE7Kl-BL._AC_UY218_.jpg,2.8 out of 5 stars,49,https://www.amazon.in/RANZ-External-Enclosure-Desktop-Included/dp/B09RQP2DH5
HDD / SSD Hard Drive SATA Flex Cable Connector For HP DV6-6000 DV7-6000 DV7T-6000 Compatible 6017b0309001,"₹1,350","₹2,600",https://m.media-amazon.com/images/I/41NYmqC5drL._AC_UY218_.jpg,3.3 out of 5 stars,2,https://www.amazon.in/Connector-DV6-6000-DV7T-6000-Compatible-6017b0309001/dp/B0711SMM96
"NISUN 2.5 inch USB 3.0 External Hard Disk Enclosure Adapter, External Portable USB 3.0 to SATA Transparent Hard Drive Enclosure for 2.5 Inch SATA HDD/SSD, Support SATA III",₹699,"₹1,999",https://m.media-amazon.com/images/I/718LQctlolL._AC_UY218_.jpg,4.2 out of 5 stars,19,https://www.amazon.in/NISUN-USB-3-0-Enclosure-Transparent/dp/B0BTLFV1LN
BUYFLUX 2.0 USB Casing 3.5/2.5 Inch SSD SATA to USB External Hard Drive Enclosure Case for Laptop/Desktop/SSD HD (Hard Disk Not Included),"₹1,199",,https://m.media-amazon.com/images/I/31+vd+v4KGL._AC_UY218_.jpg,3.1 out of 5 stars,17,https://www.amazon.in/BUYFLUX-External-Enclosure-Desktop-Included/dp/B09MQWMZMK
"ORICO SATA to USB Adapter, 1.6 FT External USB 3.0 to SATA III Hard Drive Cable Converter for 2.5 inch SATA HDD/SSD Data Transfer [Support UASP], Black",₹799,"₹2,999",https://m.media-amazon.com/images/I/61nfbPyfCGL._AC_UY218_.jpg,4.4 out of 5 stars,21,https://www.amazon.in/ORICO-Adapter-External-Converter-Transfer/dp/B0B3MMJ1LB
"Scalebee USB 3.0 Transparent Portable Hard Disk Adapter for HDD & SSD, Supports SATA III, 2.5 inch External Hard Disk Cover (for 2.5 SATA HDD, Transparent) (2.5 CASING Transparent)",₹699,"₹1,999",https://m.media-amazon.com/images/I/51+zREW738L._AC_UY218_.jpg,4.0 out of 5 stars,2,https://www.amazon.in/Scalebee-Transparent-Portable-2-5-inch/dp/B0BV7D2TVH
"USB 3.0[Update Version] to 2.5 Inch Sata Transparent External Hard Drive, HDD/SSD Enclosure, Case Support UASP",₹499,₹999,https://m.media-amazon.com/images/I/61sYJ1wXogL._AC_UY218_.jpg,4.0 out of 5 stars,18,https://www.amazon.in/Transparent-External-Enclosure-Support-Warranty/dp/B09P6BPX4Q
NIMITZ 2.5inch HDD/SSD Hard Drive Cable Connector for ASUS VivoBook S14/S15 S430U S530U /X412 X512 F412 F512/R424/R564/Huawei Matebook D,"₹5,727",,https://m.media-amazon.com/images/I/71AOIxEpVxL._AC_UY218_.jpg,2.4 out of 5 stars,3,https://www.amazon.in/NIMITZ-2-5inch-Connector-VivoBook-Matebook/dp/B07J4WRT71
